frame,left,right
000000.jpg,0.2,0.2
000001.jpg,0.2,0.2
000002.jpg,0.2,0.2
000003.jpg,0.2,0.2
000004.jpg,0.2,0.2
000005.jpg,0.2,0.2
000006.jpg,0.2,0.2
000007.jpg,0.2,0.2
000008.jpg,0.26,0.1116
000009.jpg,0.26,-0.04
000010.jpg,0.26,-0.04
000011.jpg,0.2,0.0484
000012.jpg,0.2,0.2
000013.jpg,0.2,0.2
000014.jpg,0.2,0.2
000015.jpg,0.26,0.1116
000016.jpg,0.26,0.1116
000017.jpg,0.26,-0.04
000018.jpg,0.26,-0.04
000019.jpg,0.26,-0.04
000020.jpg,0.2,0.1368
000021.jpg,0.2,0.2
000022.jpg,0.2,0.2
000023.jpg,0.26,0.1116
000024.jpg,0.2,0.0484
000025.jpg,0.2,0.2
000026.jpg,0.2,0.2
000027.jpg,0.2,0.2
000028.jpg,0.2,0.2
000029.jpg,0.26,0.1116
000030.jpg,0.26,-0.04
000031.jpg,0.26,-0.04
000032.jpg,0.2,0.0484
000033.jpg,0.2,0.2
000034.jpg,0.2,0.2
000035.jpg,0.2,0.2
000036.jpg,0.26,0.0284
000037.jpg,0.26,-0.04
000038.jpg,0.26,-0.04
000039.jpg,0.26,-0.04
000040.jpg,0.2,0.1368
000041.jpg,0.2,0.2
000042.jpg,0.2,0.2
000043.jpg,0.2,0.2
000044.jpg,0.2,0.2
000045.jpg,0.2,0.2
000046.jpg,0.26,0.1116
000047.jpg,0.26,0.1116
000048.jpg,0.26,-0.04
000049.jpg,0.26,-0.04
000050.jpg,0.26,-0.04
000051.jpg,0.2,0.0484
000052.jpg,0.2,0.2
000053.jpg,0.2,0.2
000054.jpg,0.2,0.2
000055.jpg,0.2,0.2
000056.jpg,0.2,0.2
000057.jpg,0.2,0.2
000058.jpg,0.2,0.2
000059.jpg,0.2,0.2
000060.jpg,0.2,0.2
000061.jpg,0.2,0.2
000062.jpg,0.2,0.2
000063.jpg,0.2,0.2
000064.jpg,0.2,0.2
000065.jpg,0.2,0.2
000066.jpg,0.2,0.2
000067.jpg,0.2,0.2
000068.jpg,0.2,0.2
000069.jpg,0.2,0.2
000070.jpg,0.2,0.2
000071.jpg,0.2,0.2
000072.jpg,0.2,0.2
000073.jpg,0.2,0.2
000074.jpg,0.26,0.1116
000075.jpg,0.26,-0.04
000076.jpg,0.26,-0.04
000077.jpg,0.26,-0.04
000078.jpg,0.26,-0.04
000079.jpg,0.26,-0.04
000080.jpg,0.26,-0.04
000081.jpg,0.26,-0.04
000082.jpg,0.26,-0.04
000083.jpg,0.26,-0.04
000084.jpg,0.2,0.0432
000085.jpg,0.2,0.2
000086.jpg,0.2,0.2
000087.jpg,0.26,0.0232
000088.jpg,0.26,-0.04
000089.jpg,0.26,-0.04
000090.jpg,0.26,-0.04
000091.jpg,0.26,-0.04
000092.jpg,0.26,-0.04
000093.jpg,0.26,-0.2116
000094.jpg,0.26,-0.24
000095.jpg,0.26,-0.24
000096.jpg,0.26,-0.24
000097.jpg,0.26,-0.24
000098.jpg,0.26,-0.24
000099.jpg,0.26,-0.24
000100.jpg,0.26,-0.24
000101.jpg,0.26,-0.0632
000102.jpg,0.26,-0.04
000103.jpg,0.26,-0.04
000104.jpg,0.26,-0.04
000105.jpg,0.26,-0.04
000106.jpg,0.26,-0.04
000107.jpg,0.26,-0.04
000108.jpg,0.2,0.1368
000109.jpg,0.2,0.2
000110.jpg,0.2,0.2
000111.jpg,0.2,0.2
000112.jpg,0.26,0.1116
000113.jpg,0.26,-0.04
000114.jpg,0.26,-0.1284
000115.jpg,0.26,-0.24
000116.jpg,0.26,-0.24
000117.jpg,0.26,-0.24
000118.jpg,0.26,-0.24
000119.jpg,0.26,-0.24
000120.jpg,0.26,-0.24
000121.jpg,0.26,-0.24
000122.jpg,0.26,-0.24
000123.jpg,0.26,-0.24
000124.jpg,0.26,-0.24
000125.jpg,0.2,0.0252
000126.jpg,0.2,0.2
000127.jpg,0.2,0.2
000128.jpg,0.2,0.2
000129.jpg,0.2,0.2
000130.jpg,0.2,0.2
000131.jpg,0.2,0.2
000132.jpg,0.2,0.2
000133.jpg,0.2,0.2
000134.jpg,0.2,0.2
000135.jpg,0.2,0.2
000136.jpg,0.2,0.2
000137.jpg,0.2,0.2
000138.jpg,0.2,0.2
000139.jpg,0.0232,0.26
000140.jpg,0.0232,0.26
000141.jpg,-0.04,0.26
000142.jpg,-0.04,0.26
000143.jpg,-0.04,0.26
000144.jpg,-0.04,0.26
000145.jpg,-0.04,0.26
000146.jpg,-0.04,0.26
000147.jpg,-0.04,0.26
000148.jpg,-0.04,0.26
000149.jpg,-0.04,0.26
000150.jpg,-0.04,0.26
000151.jpg,-0.04,0.26
000152.jpg,-0.04,0.26
000153.jpg,-0.04,0.26
000154.jpg,-0.04,0.26
000155.jpg,-0.04,0.26
000156.jpg,-0.04,0.26
000157.jpg,-0.04,0.26
